date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,31,23,0.0,12.8,6,26,01:45 AM,02:28 PM,05:18 AM,06:01 PM,21,29,29,26,10,40,74,4.9,1010,31,9,283,7,Fronteira
2019-01-02,34,23,0.0,12.8,6,19,02:30 AM,03:19 PM,05:18 AM,06:02 PM,21,29,29,27,10,43,71,0.1,1010,34,10,262,6,Fronteira
2019-01-03,29,22,0.0,12.8,6,11,03:16 AM,04:10 PM,05:19 AM,06:02 PM,23,28,28,24,8,40,93,33.1,1010,29,6,302,5,Fronteira
2019-01-04,29,22,0.0,12.8,6,4,04:04 AM,05:02 PM,05:19 AM,06:02 PM,23,28,28,24,10,66,94,21.5,1012,29,4,272,6,Fronteira
2019-01-05,32,22,0.0,11.9,6,0,04:53 AM,05:52 PM,05:20 AM,06:03 PM,21,27,27,24,9,48,86,17.7,1011,32,9,312,6,Fronteira
2019-01-06,34,22,0.0,12.8,6,0,05:43 AM,06:40 PM,05:20 AM,06:03 PM,20,30,30,27,11,30,68,0.1,1009,34,10,293,7,Fronteira
2019-01-07,32,24,0.0,12.8,6,3,06:32 AM,07:27 PM,05:21 AM,06:03 PM,22,30,30,27,13,31,72,2.7,1009,32,10,299,9,Fronteira
2019-01-08,28,23,0.0,12.8,6,10,07:22 AM,08:11 PM,05:21 AM,06:04 PM,23,28,28,25,12,54,90,25.5,1010,28,8,343,7,Fronteira
2019-01-09,29,22,0.0,11.9,6,18,08:09 AM,08:53 PM,05:22 AM,06:04 PM,23,28,28,24,10,63,92,31.1,1009,29,7,290,6,Fronteira
2019-01-10,29,21,0.0,12.8,6,25,08:56 AM,09:33 PM,05:23 AM,06:04 PM,22,27,27,24,9,57,90,8.9,1009,29,4,218,6,Fronteira
2019-01-11,30,21,0.0,10.6,6,32,09:42 AM,10:12 PM,05:23 AM,06:05 PM,23,28,28,24,7,57,91,28.8,1011,30,8,98,4,Fronteira
2019-01-12,25,22,0.0,10.6,5,39,10:27 AM,10:51 PM,05:24 AM,06:05 PM,22,25,25,22,8,72,97,30.7,1012,25,5,283,5,Fronteira
2019-01-13,31,21,0.0,11.9,6,47,11:14 AM,11:31 PM,05:24 AM,06:05 PM,21,27,27,25,8,58,80,2.3,1011,31,9,286,5,Fronteira
2019-01-14,30,21,0.0,12.8,6,54,12:02 PM,No moonset,05:25 AM,06:05 PM,23,28,28,25,9,40,89,15.8,1011,30,7,217,5,Fronteira
2019-01-15,30,22,0.0,12.8,6,61,12:52 PM,12:12 AM,05:25 AM,06:05 PM,23,28,28,25,5,55,89,16.9,1011,30,8,229,3,Fronteira
2019-01-16,29,22,0.0,12.8,6,69,01:45 PM,12:56 AM,05:26 AM,06:06 PM,24,28,28,25,6,53,94,25.2,1012,29,7,264,3,Fronteira
2019-01-17,31,22,0.0,12.8,6,76,02:42 PM,01:45 AM,05:26 AM,06:06 PM,23,28,28,25,9,57,87,20.6,1012,31,4,333,5,Fronteira
2019-01-18,33,22,0.0,12.8,6,83,03:43 PM,02:39 AM,05:27 AM,06:06 PM,22,29,29,26,7,39,78,25.7,1011,33,7,324,4,Fronteira
2019-01-19,34,22,0.0,12.8,6,90,04:45 PM,03:38 AM,05:27 AM,06:06 PM,22,29,29,26,7,55,81,12.9,1011,34,8,174,4,Fronteira
2019-01-20,29,22,0.0,12.8,6,98,05:48 PM,04:40 AM,05:28 AM,06:06 PM,24,29,29,25,6,50,93,22.3,1012,29,5,115,4,Fronteira
2019-01-21,32,22,0.0,12.8,6,100,06:48 PM,05:45 AM,05:28 AM,06:06 PM,23,29,29,26,6,48,84,14.0,1011,32,8,78,3,Fronteira
2019-01-22,27,22,0.0,12.8,6,88,07:46 PM,06:49 AM,05:29 AM,06:06 PM,23,28,28,24,8,53,96,37.1,1013,27,7,324,4,Fronteira
2019-01-23,35,22,0.0,12.8,6,81,08:38 PM,07:52 AM,05:29 AM,06:06 PM,22,29,29,26,4,61,80,10.2,1012,35,7,210,2,Fronteira
2019-01-24,34,22,0.0,12.8,6,73,09:28 PM,08:50 AM,05:30 AM,06:06 PM,23,30,30,26,7,51,81,24.1,1011,34,7,186,4,Fronteira
2019-01-25,31,22,0.0,11.9,6,66,10:14 PM,09:47 AM,05:30 AM,06:06 PM,22,28,28,25,8,64,86,33.3,1011,31,7,301,5,Fronteira
2019-01-26,30,22,0.0,12.8,6,59,10:59 PM,10:41 AM,05:30 AM,06:06 PM,23,29,29,26,7,27,88,23.5,1010,30,8,241,4,Fronteira
2019-01-27,30,22,0.0,12.8,6,51,11:44 PM,11:33 AM,05:31 AM,06:06 PM,24,30,30,26,7,34,90,26.5,1008,30,5,142,4,Fronteira
2019-01-28,27,22,0.0,10.6,6,44,No moonrise,12:25 PM,05:31 AM,06:06 PM,24,28,28,24,9,64,97,44.1,1009,27,5,177,4,Fronteira
2019-01-29,27,22,0.0,9.3,6,37,12:28 AM,01:16 PM,05:32 AM,06:06 PM,23,27,27,24,7,78,93,31.4,1010,27,6,18,4,Fronteira
2019-01-30,28,22,0.0,8.0,6,30,01:15 AM,02:07 PM,05:32 AM,06:06 PM,23,27,27,24,7,82,93,21.9,1011,28,8,95,4,Fronteira
2019-01-31,28,22,0.0,8.0,6,26,02:02 AM,02:58 PM,05:33 AM,06:06 PM,23,27,27,24,6,85,93,16.7,1011,28,9,129,3,Fronteira
2019-02-01,28,23,0.0,8.0,5,8,02:50 AM,03:48 PM,05:33 AM,06:06 PM,23,27,27,24,7,79,93,44.3,1011,28,7,208,4,Fronteira
2019-02-02,27,22,0.0,11.9,5,1,03:39 AM,04:37 PM,05:33 AM,06:06 PM,23,27,27,24,5,68,95,21.5,1012,27,5,68,3,Fronteira
2019-02-03,27,22,0.0,12.7,5,0,04:28 AM,05:24 PM,05:34 AM,06:06 PM,23,27,27,24,9,56,95,22.2,1012,27,8,120,5,Fronteira
2019-02-04,28,22,0.0,12.7,6,0,05:18 AM,06:08 PM,05:34 AM,06:06 PM,23,28,28,25,11,48,92,20.0,1012,28,7,141,6,Fronteira
2019-02-05,29,22,0.0,12.7,6,0,06:06 AM,06:51 PM,05:34 AM,06:05 PM,23,29,29,25,8,48,90,18.0,1011,29,8,151,4,Fronteira
2019-02-06,29,22,0.0,12.7,6,7,06:53 AM,07:32 PM,05:35 AM,06:05 PM,24,28,28,25,6,49,93,38.3,1010,29,4,166,3,Fronteira
2019-02-07,28,22,0.0,12.7,6,14,07:39 AM,08:11 PM,05:35 AM,06:05 PM,24,28,28,25,7,48,94,26.2,1009,28,5,304,4,Fronteira
2019-02-08,30,22,0.0,12.7,6,22,08:25 AM,08:50 PM,05:35 AM,06:05 PM,23,29,29,25,8,42,89,20.1,1008,30,5,323,4,Fronteira
2019-02-09,32,23,0.0,12.7,6,29,09:11 AM,09:29 PM,05:36 AM,06:05 PM,23,29,29,26,8,28,83,12.6,1008,32,9,321,5,Fronteira
2019-02-10,32,22,0.0,12.7,6,37,09:57 AM,10:09 PM,05:36 AM,06:04 PM,23,29,29,26,10,28,83,23.8,1008,32,7,330,6,Fronteira
2019-02-11,27,22,0.0,12.7,6,44,10:45 AM,10:51 PM,05:36 AM,06:04 PM,23,27,27,24,8,56,92,12.5,1009,27,7,336,5,Fronteira
2019-02-12,28,22,0.0,12.7,5,52,11:35 AM,11:36 PM,05:36 AM,06:04 PM,23,27,27,24,7,57,94,16.5,1012,28,8,274,5,Fronteira
2019-02-13,27,22,0.0,12.7,6,60,12:28 PM,No moonset,05:37 AM,06:04 PM,23,27,27,24,7,48,95,23.9,1012,27,7,256,3,Fronteira
2019-02-14,29,21,0.0,12.7,6,67,01:25 PM,12:25 AM,05:37 AM,06:03 PM,23,28,28,25,6,66,93,23.2,1011,29,4,281,3,Fronteira
2019-02-15,30,22,0.0,12.7,6,75,02:25 PM,01:20 AM,05:37 AM,06:03 PM,24,28,28,25,9,68,94,20.1,1011,30,3,289,5,Fronteira
2019-02-16,27,22,0.0,11.9,6,82,03:26 PM,02:19 AM,05:37 AM,06:03 PM,23,27,27,24,10,61,95,20.9,1011,27,9,278,6,Fronteira
2019-02-17,28,21,0.0,12.6,6,90,04:27 PM,03:22 AM,05:38 AM,06:02 PM,23,27,27,24,8,43,92,19.4,1011,28,7,250,4,Fronteira
2019-02-18,31,22,0.0,12.6,6,97,05:26 PM,04:25 AM,05:38 AM,06:02 PM,23,29,29,26,9,35,87,15.9,1011,31,9,299,6,Fronteira
2019-02-19,33,22,0.0,12.6,6,100,06:21 PM,05:30 AM,05:38 AM,06:02 PM,23,29,29,26,8,30,85,14.5,1010,33,9,314,5,Fronteira
2019-02-20,32,23,0.0,12.6,6,88,07:14 PM,06:31 AM,05:38 AM,06:01 PM,23,29,29,26,9,44,85,43.4,1010,32,7,300,5,Fronteira
2019-02-21,29,23,0.0,12.6,6,80,08:03 PM,07:31 AM,05:38 AM,06:01 PM,24,29,29,25,8,34,91,23.2,1010,29,8,300,4,Fronteira
2019-02-22,29,22,0.0,12.6,6,73,08:51 PM,08:27 AM,05:38 AM,06:00 PM,23,29,29,26,9,34,87,24.8,1010,29,8,296,5,Fronteira
2019-02-23,31,22,0.0,12.6,6,65,09:38 PM,09:23 AM,05:39 AM,06:00 PM,23,29,29,26,9,26,84,13.7,1009,31,9,230,5,Fronteira
2019-02-24,29,22,0.0,12.6,6,57,10:23 PM,10:17 AM,05:39 AM,06:00 PM,23,28,28,25,11,51,93,34.6,1008,29,6,234,7,Fronteira
2019-02-25,30,22,0.0,10.2,6,50,11:11 PM,11:10 AM,05:39 AM,05:59 PM,23,28,28,25,10,51,90,12.9,1009,30,7,276,7,Fronteira
2019-02-26,30,21,0.0,10.2,6,42,11:58 PM,12:02 PM,05:39 AM,05:59 PM,23,28,28,25,10,59,92,21.9,1010,30,7,346,6,Fronteira
2019-02-27,28,21,0.0,11.6,6,35,No moonrise,12:54 PM,05:39 AM,05:58 PM,23,27,27,24,8,58,96,22.9,1011,28,6,297,4,Fronteira
2019-02-28,28,22,0.0,11.6,6,27,12:47 AM,01:45 PM,05:39 AM,05:58 PM,23,27,27,24,7,60,93,27.4,1013,28,7,100,4,Fronteira
2019-03-01,27,21,0.0,10.2,6,26,01:36 AM,02:34 PM,05:39 AM,05:57 PM,23,27,27,24,5,62,94,11.7,1012,27,8,230,3,Fronteira
2019-03-02,30,21,0.0,10.2,6,19,02:25 AM,03:22 PM,05:39 AM,05:57 PM,22,28,28,25,7,49,88,9.6,1011,30,5,328,5,Fronteira
2019-03-03,31,21,0.0,11.6,6,12,03:14 AM,04:07 PM,05:40 AM,05:56 PM,22,29,29,26,8,36,79,7.5,1010,31,8,237,5,Fronteira
2019-03-04,33,23,0.0,8.8,6,4,04:02 AM,04:50 PM,05:40 AM,05:56 PM,22,30,30,27,8,42,74,2.4,1009,33,10,264,5,Fronteira
2019-03-05,31,22,0.0,11.6,6,0,04:50 AM,05:31 PM,05:40 AM,05:55 PM,23,29,29,26,10,22,82,18.6,1009,31,8,346,5,Fronteira
2019-03-06,29,23,0.0,11.6,6,0,05:37 AM,06:11 PM,05:40 AM,05:55 PM,24,29,29,25,8,29,90,23.7,1010,29,7,256,4,Fronteira
2019-03-07,30,23,0.0,11.6,6,3,06:22 AM,06:50 PM,05:40 AM,05:54 PM,23,29,29,26,9,48,87,18.9,1010,30,6,330,5,Fronteira
2019-03-08,33,22,0.0,11.6,6,10,07:09 AM,07:29 PM,05:40 AM,05:54 PM,23,30,30,26,8,31,84,32.2,1009,33,7,210,4,Fronteira
2019-03-09,36,23,0.0,11.6,6,17,07:55 AM,08:08 PM,05:40 AM,05:53 PM,22,30,30,27,8,54,79,7.0,1010,36,8,156,5,Fronteira
2019-03-10,28,22,0.0,8.8,6,24,08:42 AM,08:49 PM,05:40 AM,05:53 PM,23,28,28,24,9,61,95,20.1,1012,28,5,123,5,Fronteira
2019-03-11,29,22,0.0,10.2,6,32,09:31 AM,09:33 PM,05:40 AM,05:52 PM,24,28,28,25,3,46,95,28.9,1010,29,8,208,2,Fronteira
2019-03-12,29,21,0.0,10.2,6,39,10:22 AM,10:20 PM,05:40 AM,05:51 PM,24,28,28,25,8,54,95,25.8,1009,29,4,180,4,Fronteira
2019-03-13,30,21,0.0,11.6,6,46,11:17 AM,11:11 PM,05:40 AM,05:51 PM,23,28,28,25,8,57,92,17.5,1010,30,5,244,5,Fronteira
2019-03-14,35,22,0.0,11.6,6,54,12:13 PM,No moonset,05:40 AM,05:50 PM,22,29,29,26,5,40,80,28.3,1010,35,8,290,3,Fronteira
2019-03-15,29,23,0.0,11.6,6,61,01:12 PM,12:06 AM,05:40 AM,05:50 PM,23,29,29,25,7,24,87,26.3,1010,29,8,281,3,Fronteira
2019-03-16,30,23,0.0,11.6,6,68,02:11 PM,01:05 AM,05:40 AM,05:49 PM,23,29,29,26,9,28,84,21.5,1009,30,8,172,5,Fronteira
2019-03-17,32,22,0.0,11.6,6,75,03:09 PM,02:06 AM,05:40 AM,05:49 PM,22,30,30,26,9,32,77,6.2,1009,32,9,215,5,Fronteira
2019-03-18,29,23,0.0,11.6,6,83,04:05 PM,03:09 AM,05:40 AM,05:48 PM,23,29,29,26,6,42,85,15.0,1009,29,9,187,4,Fronteira
2019-03-19,32,22,0.0,11.6,6,90,04:58 PM,04:10 AM,05:40 AM,05:47 PM,22,30,30,27,7,30,78,9.3,1009,32,9,296,4,Fronteira
2019-03-20,30,22,0.0,10.2,6,97,05:49 PM,05:11 AM,05:40 AM,05:47 PM,23,28,28,25,10,40,86,22.7,1010,30,7,231,5,Fronteira
2019-03-21,27,22,0.0,10.2,6,100,06:37 PM,06:09 AM,05:40 AM,05:46 PM,24,27,27,24,8,52,96,28.7,1011,27,7,89,4,Fronteira
2019-03-22,29,22,0.0,8.8,6,88,07:26 PM,07:06 AM,05:40 AM,05:46 PM,23,28,28,24,6,41,94,17.5,1011,29,8,128,4,Fronteira
2019-03-23,29,22,0.0,10.2,6,81,08:13 PM,08:02 AM,05:40 AM,05:45 PM,23,28,28,25,7,48,93,24.8,1012,29,7,134,4,Fronteira
2019-03-24,28,22,0.0,11.6,6,74,09:01 PM,08:57 AM,05:40 AM,05:45 PM,24,28,28,25,6,38,94,32.6,1011,28,7,236,3,Fronteira
2019-03-25,33,22,0.0,10.2,6,66,09:50 PM,09:52 AM,05:40 AM,05:44 PM,22,29,29,26,7,59,82,8.3,1010,33,8,283,4,Fronteira
2019-03-26,32,21,0.0,10.2,6,59,10:40 PM,10:46 AM,05:40 AM,05:43 PM,23,28,28,25,6,60,90,23.0,1010,32,8,211,4,Fronteira
2019-03-27,26,23,0.0,8.8,5,52,11:30 PM,11:39 AM,05:40 AM,05:43 PM,23,26,26,24,12,71,98,32.9,1011,26,7,153,6,Fronteira
2019-03-28,31,21,0.0,8.8,6,45,No moonrise,12:29 PM,05:40 AM,05:42 PM,21,28,28,25,11,60,79,9.9,1012,31,9,134,7,Fronteira
2019-03-29,30,21,0.0,8.8,6,37,12:20 AM,01:18 PM,05:40 AM,05:42 PM,21,27,27,25,8,50,82,3.3,1012,30,9,120,5,Fronteira
2019-03-30,31,21,0.0,11.6,6,30,01:10 AM,02:04 PM,05:40 AM,05:41 PM,21,28,28,26,4,38,77,0.6,1012,31,8,158,2,Fronteira
2019-03-31,32,23,0.0,10.2,6,26,01:58 AM,02:48 PM,05:40 AM,05:40 PM,23,30,30,26,5,37,81,7.7,1010,32,10,126,3,Fronteira
2019-04-01,34,23,0.0,11.6,6,9,02:46 AM,03:30 PM,05:40 AM,05:40 PM,22,30,30,27,8,32,79,13.8,1009,34,9,295,5,Fronteira
2019-04-02,31,23,0.0,11.6,6,1,03:33 AM,04:10 PM,05:40 AM,05:39 PM,23,30,30,26,8,31,86,19.8,1009,31,8,307,4,Fronteira
2019-04-03,31,22,0.0,11.6,6,0,04:19 AM,04:49 PM,05:40 AM,05:39 PM,23,29,29,26,7,28,86,12.4,1010,31,7,301,4,Fronteira
2019-04-04,31,23,0.0,11.6,6,0,05:05 AM,05:28 PM,05:40 AM,05:38 PM,23,29,29,26,13,28,83,11.0,1008,31,9,328,7,Fronteira
2019-04-05,34,23,0.0,11.6,7,0,05:52 AM,06:08 PM,05:40 AM,05:38 PM,21,30,30,27,9,36,72,0.1,1008,34,10,293,6,Fronteira
2019-04-06,26,19,0.0,8.8,5,6,06:39 AM,06:49 PM,05:40 AM,05:37 PM,18,23,23,22,13,59,82,31.4,1014,26,8,136,7,Fronteira
2019-04-07,29,18,0.0,11.6,6,14,07:29 AM,07:32 PM,05:40 AM,05:36 PM,14,23,23,22,9,31,61,0.0,1015,29,10,151,6,Fronteira
2019-04-08,31,17,0.0,11.6,7,21,08:19 AM,08:18 PM,05:40 AM,05:36 PM,15,23,23,23,8,9,63,0.0,1014,31,10,149,5,Fronteira
2019-04-09,32,17,0.0,11.6,7,29,09:13 AM,09:08 PM,05:40 AM,05:35 PM,15,24,24,24,5,3,62,0.0,1012,32,10,132,3,Fronteira
2019-04-10,34,18,0.0,11.6,7,36,10:09 AM,10:01 PM,05:40 AM,05:35 PM,16,26,26,25,3,3,61,0.0,1010,34,10,139,1,Fronteira
2019-04-11,34,19,0.0,11.6,7,44,11:06 AM,10:57 PM,05:40 AM,05:34 PM,18,27,27,26,4,14,64,0.0,1011,34,10,133,3,Fronteira
2019-04-12,32,21,0.0,11.6,6,52,12:03 PM,11:57 PM,05:40 AM,05:34 PM,20,28,28,26,5,29,73,0.3,1011,32,10,115,3,Fronteira
2019-04-13,32,22,0.0,11.6,6,59,01:00 PM,No moonset,05:40 AM,05:33 PM,22,29,29,26,5,22,84,10.2,1010,32,9,187,3,Fronteira
2019-04-14,32,22,0.0,11.6,7,67,01:55 PM,12:56 AM,05:40 AM,05:33 PM,22,30,30,27,8,43,76,0.2,1009,32,10,294,5,Fronteira
2019-04-15,32,22,0.0,11.6,6,74,02:47 PM,01:56 AM,05:40 AM,05:32 PM,22,29,29,26,6,33,79,13.0,1010,32,9,246,3,Fronteira
2019-04-16,29,23,0.0,10.2,6,82,03:37 PM,02:55 AM,05:40 AM,05:32 PM,24,28,28,25,6,55,93,33.6,1011,29,6,186,3,Fronteira
2019-04-17,29,22,0.0,10.2,6,89,04:25 PM,03:53 AM,05:40 AM,05:31 PM,23,29,29,25,6,57,90,11.6,1010,29,7,125,3,Fronteira
2019-04-18,30,22,0.0,10.2,6,97,05:13 PM,04:49 AM,05:40 AM,05:31 PM,24,29,29,25,5,43,91,48.1,1009,30,6,203,2,Fronteira
2019-04-19,32,22,0.0,11.6,6,100,06:01 PM,05:46 AM,05:40 AM,05:30 PM,23,29,29,26,6,28,85,16.3,1010,32,7,306,3,Fronteira
2019-04-20,31,22,0.0,11.6,6,88,06:49 PM,06:41 AM,05:40 AM,05:30 PM,23,30,30,26,7,30,88,12.4,1010,31,8,277,4,Fronteira
2019-04-21,31,22,0.0,10.2,6,81,07:38 PM,07:38 AM,05:40 AM,05:29 PM,23,29,29,26,10,44,84,10.9,1009,31,7,293,6,Fronteira
2019-04-22,31,22,0.0,11.6,6,73,08:28 PM,08:33 AM,05:41 AM,05:29 PM,22,29,29,26,10,21,81,5.3,1008,31,8,339,6,Fronteira
2019-04-23,28,22,0.0,11.6,6,65,09:20 PM,09:28 AM,05:41 AM,05:28 PM,24,29,29,25,9,29,91,18.5,1010,28,7,217,5,Fronteira
2019-04-24,30,22,0.0,8.8,6,58,10:11 PM,10:20 AM,05:41 AM,05:28 PM,23,28,28,25,6,48,88,22.0,1012,30,7,94,3,Fronteira
2019-04-25,34,22,0.0,10.2,6,50,11:02 PM,11:11 AM,05:41 AM,05:27 PM,22,30,30,27,5,43,77,1.2,1012,34,8,130,3,Fronteira
2019-04-26,33,22,0.0,10.2,6,43,11:52 PM,11:59 AM,05:41 AM,05:27 PM,23,30,30,26,5,34,81,9.7,1012,33,9,254,3,Fronteira
2019-04-27,30,22,0.0,11.6,6,35,No moonrise,12:44 PM,05:41 AM,05:27 PM,23,29,29,25,7,40,91,18.1,1011,30,5,275,4,Fronteira
2019-04-28,31,21,0.0,11.6,6,28,12:40 AM,01:27 PM,05:41 AM,05:26 PM,23,29,29,25,4,36,86,9.1,1011,31,6,220,3,Fronteira
2019-04-29,31,22,0.0,11.6,6,20,01:28 AM,02:07 PM,05:41 AM,05:26 PM,23,29,29,26,6,26,86,14.7,1010,31,9,204,3,Fronteira
2019-04-30,30,22,0.0,10.2,6,13,02:14 AM,02:47 PM,05:41 AM,05:25 PM,23,28,28,25,9,50,92,30.9,1010,30,8,177,5,Fronteira
2019-05-01,31,22,0.0,11.6,6,12,03:00 AM,03:26 PM,05:41 AM,05:25 PM,23,29,29,25,9,29,90,20.3,1011,31,8,215,4,Fronteira
2019-05-02,33,22,0.0,11.6,6,5,03:46 AM,04:05 PM,05:41 AM,05:25 PM,22,30,30,27,8,36,79,5.6,1010,33,10,220,5,Fronteira
2019-05-03,31,23,0.0,11.6,6,0,04:33 AM,04:45 PM,05:42 AM,05:24 PM,23,29,29,26,9,27,83,12.0,1009,31,9,212,5,Fronteira
2019-05-04,33,23,0.0,10.2,6,0,05:23 AM,05:28 PM,05:42 AM,05:24 PM,23,29,29,26,7,42,86,17.5,1010,33,7,287,4,Fronteira
2019-05-05,29,22,0.0,11.6,6,2,06:13 AM,06:14 PM,05:42 AM,05:24 PM,23,28,28,25,6,24,92,19.7,1011,29,8,97,3,Fronteira
2019-05-06,33,22,0.0,11.6,6,9,07:07 AM,07:03 PM,05:42 AM,05:23 PM,22,29,29,26,5,19,80,3.0,1012,33,10,190,3,Fronteira
2019-05-07,33,22,0.0,11.6,6,17,08:03 AM,07:56 PM,05:42 AM,05:23 PM,22,29,29,26,5,22,79,2.5,1012,33,10,165,2,Fronteira
2019-05-08,31,22,0.0,11.6,6,24,09:01 AM,08:53 PM,05:42 AM,05:23 PM,23,29,29,25,6,20,86,15.5,1011,31,9,177,3,Fronteira
2019-05-09,33,22,0.0,11.6,6,31,10:00 AM,09:52 PM,05:42 AM,05:23 PM,21,29,29,27,3,32,74,2.3,1009,33,9,111,1,Fronteira
2019-05-10,33,23,0.0,10.2,6,39,10:56 AM,10:51 PM,05:43 AM,05:22 PM,21,30,30,27,6,40,72,0.0,1008,33,10,312,4,Fronteira
2019-05-11,34,23,0.0,11.6,6,46,11:51 AM,11:50 PM,05:43 AM,05:22 PM,21,30,30,27,7,34,73,0.2,1008,34,10,220,4,Fronteira
2019-05-12,31,22,0.0,8.7,6,53,12:43 PM,No moonset,05:43 AM,05:22 PM,22,28,28,25,9,44,88,20.0,1011,31,7,109,5,Fronteira
2019-05-13,23,19,0.0,5.9,5,60,01:32 PM,12:47 AM,05:43 AM,05:22 PM,20,21,22,21,9,90,95,17.7,1017,23,7,133,6,Fronteira
2019-05-14,28,19,0.0,11.6,6,68,02:19 PM,01:44 AM,05:43 AM,05:22 PM,18,23,23,22,12,51,76,0.0,1017,28,8,138,8,Fronteira
2019-05-15,29,18,0.0,11.6,6,75,03:06 PM,02:39 AM,05:44 AM,05:21 PM,14,22,22,22,11,20,62,0.0,1016,29,10,144,7,Fronteira
2019-05-16,29,17,0.0,11.6,6,82,03:52 PM,03:34 AM,05:44 AM,05:21 PM,15,22,22,22,9,11,68,0.0,1015,29,10,147,6,Fronteira
2019-05-17,32,17,0.0,11.6,7,89,04:38 PM,04:28 AM,05:44 AM,05:21 PM,16,23,23,23,5,7,67,0.0,1013,32,10,140,3,Fronteira
2019-05-18,32,18,0.0,11.6,7,97,05:27 PM,05:24 AM,05:44 AM,05:21 PM,17,25,25,24,4,7,69,0.0,1011,32,10,106,2,Fronteira
