date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,15,13,0.0,5.2,3,37,12:16 PM,11:53 PM,08:11 AM,05:42 PM,12,14,15,14,49,76,81,29.4,1016,15,8,235,33,"Portugal,+Velas"
2020-01-02,14,13,0.0,7.0,3,44,12:42 PM,No moonset,08:11 AM,05:43 PM,7,13,14,13,20,38,67,0.5,1025,14,10,262,14,"Portugal,+Velas"
2020-01-03,15,8,0.0,7.0,3,51,01:07 PM,12:49 AM,08:11 AM,05:44 PM,10,12,14,12,27,31,76,0.1,1027,15,10,155,19,"Portugal,+Velas"
2020-01-04,17,14,0.0,5.2,4,59,01:33 PM,01:47 AM,08:11 AM,05:45 PM,14,16,16,16,34,72,87,3.5,1026,17,10,180,23,"Portugal,+Velas"
2020-01-05,17,16,0.0,3.5,4,66,02:01 PM,02:45 AM,08:11 AM,05:45 PM,15,17,17,17,47,69,88,11.6,1022,17,10,206,31,"Portugal,+Velas"
2020-01-06,17,14,0.0,8.7,4,73,02:32 PM,03:45 AM,08:11 AM,05:46 PM,15,16,17,16,34,56,93,1.1,1024,17,10,223,22,"Portugal,+Velas"
2020-01-07,17,15,0.0,5.2,4,80,03:08 PM,04:47 AM,08:11 AM,05:47 PM,15,17,17,17,37,55,89,2.0,1027,17,10,214,24,"Portugal,+Velas"
2020-01-08,17,15,0.0,5.2,4,88,03:51 PM,05:51 AM,08:11 AM,05:48 PM,14,16,16,16,29,53,89,3.6,1030,17,10,271,19,"Portugal,+Velas"
2020-01-09,16,14,0.0,8.7,3,95,04:41 PM,06:55 AM,08:11 AM,05:49 PM,12,15,15,15,16,43,82,0.0,1033,16,10,237,11,"Portugal,+Velas"
2020-01-10,17,15,0.0,5.2,4,100,05:41 PM,07:56 AM,08:11 AM,05:50 PM,14,16,16,16,46,70,87,2.5,1027,17,10,212,30,"Portugal,+Velas"
2020-01-11,13,11,0.0,5.3,3,100,06:47 PM,08:51 AM,08:11 AM,05:51 PM,8,11,13,11,37,63,72,1.9,1029,13,10,308,27,"Portugal,+Velas"
2020-01-12,11,6,0.0,8.7,3,83,07:58 PM,09:41 AM,08:10 AM,05:52 PM,4,9,11,9,18,40,62,0.5,1034,11,10,304,14,"Portugal,+Velas"
2020-01-13,16,11,0.0,3.5,4,76,09:11 PM,10:23 AM,08:10 AM,05:53 PM,12,13,14,13,45,61,82,2.8,1022,16,10,250,32,"Portugal,+Velas"
2020-01-14,16,12,0.0,5.3,3,69,10:22 PM,11:00 AM,08:10 AM,05:54 PM,9,13,14,13,49,64,73,6.4,1011,16,10,290,37,"Portugal,+Velas"
2020-01-15,14,12,0.0,3.5,3,61,11:33 PM,11:34 AM,08:09 AM,05:55 PM,8,10,13,10,42,76,72,5.2,1011,14,10,259,31,"Portugal,+Velas"
2020-01-16,12,9,0.0,5.3,3,54,No moonrise,12:05 PM,08:09 AM,05:56 PM,7,10,12,10,26,78,70,1.8,1018,12,10,247,20,"Portugal,+Velas"
2020-01-17,15,11,0.0,3.6,3,47,12:42 AM,12:36 PM,08:09 AM,05:57 PM,12,13,14,13,14,85,87,8.3,1019,15,8,166,10,"Portugal,+Velas"
2020-01-18,17,14,0.0,8.7,4,40,01:51 AM,01:08 PM,08:08 AM,05:58 PM,15,16,16,16,24,42,92,0.5,1023,17,8,156,16,"Portugal,+Velas"
2020-01-19,16,16,0.0,7.0,4,32,02:59 AM,01:43 PM,08:08 AM,05:59 PM,13,16,16,16,43,66,84,1.8,1023,16,10,169,30,"Portugal,+Velas"
2020-01-20,16,15,0.0,5.0,4,25,04:06 AM,02:21 PM,08:07 AM,06:00 PM,13,16,16,16,43,76,86,1.9,1025,16,10,131,30,"Portugal,+Velas"
2020-01-21,14,13,0.0,6.6,3,18,05:11 AM,03:05 PM,08:07 AM,06:01 PM,10,11,14,11,42,69,77,0.8,1029,14,10,101,32,"Portugal,+Velas"
2020-01-22,14,13,0.0,10.0,3,11,06:13 AM,03:54 PM,08:06 AM,06:03 PM,8,11,13,11,35,55,71,0.6,1029,14,10,78,26,"Portugal,+Velas"
2020-01-23,13,12,0.0,9.9,3,3,07:09 AM,04:48 PM,08:06 AM,06:04 PM,7,11,13,11,18,55,71,0.1,1028,13,10,49,14,"Portugal,+Velas"
2020-01-24,13,6,0.0,10.0,4,0,07:58 AM,05:46 PM,08:05 AM,06:05 PM,7,10,12,10,16,48,70,0.0,1025,13,10,260,12,"Portugal,+Velas"
2020-01-25,15,12,0.0,5.0,3,0,08:41 AM,06:46 PM,08:05 AM,06:06 PM,12,13,15,13,29,93,87,5.0,1021,15,10,279,21,"Portugal,+Velas"
2020-01-26,14,9,0.0,5.0,3,4,09:18 AM,07:46 PM,08:04 AM,06:07 PM,10,12,14,12,21,92,80,3.0,1020,14,10,254,15,"Portugal,+Velas"
2020-01-27,16,9,0.0,5.0,4,11,09:50 AM,08:44 PM,08:03 AM,06:08 PM,15,14,15,14,36,98,93,108.1,1013,16,6,205,25,"Portugal,+Velas"
2020-01-28,17,14,0.0,10.0,4,18,10:18 AM,09:42 PM,08:02 AM,06:09 PM,16,16,17,16,37,65,93,7.4,1006,17,10,220,24,"Portugal,+Velas"
2020-01-29,17,16,0.0,10.0,4,26,10:44 AM,10:39 PM,08:02 AM,06:10 PM,14,16,16,16,35,63,88,3.9,1009,17,10,238,24,"Portugal,+Velas"
2020-01-30,17,16,0.0,5.1,4,33,11:09 AM,11:36 PM,08:01 AM,06:12 PM,15,17,17,17,41,85,92,12.4,1010,17,9,213,26,"Portugal,+Velas"
2020-01-31,17,14,0.0,8.3,4,37,11:34 AM,No moonset,08:00 AM,06:13 PM,15,16,16,16,35,70,89,2.2,1012,17,9,221,23,"Portugal,+Velas"
2020-02-01,16,12,0.0,5.3,3,49,12:01 PM,12:33 AM,07:59 AM,06:14 PM,12,14,15,14,39,74,82,17.0,1010,16,9,240,27,"Portugal,+Velas"
2020-02-02,11,8,0.0,5.3,3,57,12:29 PM,01:31 AM,07:58 AM,06:15 PM,7,9,11,9,19,78,78,18.1,1011,11,9,303,14,"Portugal,+Velas"
2020-02-03,13,7,0.0,5.3,3,64,01:02 PM,02:31 AM,07:57 AM,06:16 PM,6,9,11,9,23,74,67,3.8,1019,13,10,239,17,"Portugal,+Velas"
2020-02-04,15,11,0.0,8.5,3,72,01:41 PM,03:33 AM,07:57 AM,06:17 PM,11,13,14,13,24,57,79,2.3,1018,15,10,147,17,"Portugal,+Velas"
2020-02-05,15,13,0.0,5.3,3,79,02:26 PM,04:35 AM,07:56 AM,06:18 PM,11,13,14,13,42,81,81,5.9,1014,15,9,230,31,"Portugal,+Velas"
2020-02-06,15,12,0.0,10.0,4,87,03:21 PM,05:37 AM,07:55 AM,06:20 PM,8,11,13,11,34,37,71,1.1,1021,15,10,258,25,"Portugal,+Velas"
2020-02-07,15,13,0.0,5.3,3,95,04:24 PM,06:35 AM,07:54 AM,06:21 PM,12,13,14,13,22,79,85,3.9,1026,15,9,219,15,"Portugal,+Velas"
2020-02-08,15,8,0.0,10.7,3,100,05:34 PM,07:28 AM,07:53 AM,06:22 PM,10,12,13,12,27,26,78,0.0,1030,15,10,251,19,"Portugal,+Velas"
2020-02-09,16,16,0.0,10.0,4,100,06:48 PM,08:14 AM,07:52 AM,06:23 PM,14,16,16,16,33,56,88,0.5,1031,16,10,274,21,"Portugal,+Velas"
2020-02-10,16,15,0.0,6.9,4,83,08:03 PM,08:55 AM,07:50 AM,06:24 PM,14,15,15,15,16,77,88,0.4,1033,16,10,240,11,"Portugal,+Velas"
2020-02-11,16,15,0.0,8.5,4,75,09:17 PM,09:31 AM,07:49 AM,06:25 PM,12,15,15,15,19,62,84,0.6,1028,16,10,251,13,"Portugal,+Velas"
2020-02-12,16,15,0.0,6.9,4,68,10:29 PM,10:04 AM,07:48 AM,06:26 PM,13,15,15,15,27,47,89,0.6,1025,16,10,258,19,"Portugal,+Velas"
2020-02-13,16,15,0.0,7.0,4,60,11:41 PM,10:36 AM,07:47 AM,06:28 PM,14,16,16,16,39,74,88,2.3,1020,16,10,223,28,"Portugal,+Velas"
2020-02-14,15,11,0.0,10.8,3,53,No moonrise,11:09 AM,07:46 AM,06:29 PM,11,13,14,13,25,49,80,2.3,1019,15,10,257,18,"Portugal,+Velas"
2020-02-15,16,12,0.0,5.4,4,45,12:50 AM,11:44 AM,07:45 AM,06:30 PM,14,15,15,15,47,83,89,1.2,1016,16,8,235,32,"Portugal,+Velas"
2020-02-16,15,11,0.0,7.0,3,38,01:59 AM,12:21 PM,07:44 AM,06:31 PM,10,12,14,12,37,69,80,2.1,1024,15,10,305,27,"Portugal,+Velas"
2020-02-17,11,7,0.0,10.1,3,30,03:05 AM,01:03 PM,07:42 AM,06:32 PM,4,9,11,9,17,44,62,0.0,1037,11,10,37,13,"Portugal,+Velas"
2020-02-18,13,6,0.0,10.9,3,22,04:08 AM,01:50 PM,07:41 AM,06:33 PM,5,10,12,10,15,36,63,0.0,1038,13,10,124,11,"Portugal,+Velas"
2020-02-19,16,12,0.0,5.5,3,15,05:05 AM,02:42 PM,07:40 AM,06:34 PM,11,13,14,13,32,53,81,1.3,1031,16,9,244,23,"Portugal,+Velas"
2020-02-20,12,6,0.0,11.0,4,7,05:56 AM,03:39 PM,07:39 AM,06:35 PM,5,8,11,8,24,2,67,0.0,1035,12,10,98,18,"Portugal,+Velas"
2020-02-21,15,10,0.0,11.0,4,0,06:39 AM,04:37 PM,07:37 AM,06:36 PM,8,12,13,12,17,3,72,0.0,1032,15,10,215,12,"Portugal,+Velas"
2020-02-22,15,13,0.0,11.0,4,0,07:18 AM,05:37 PM,07:36 AM,06:38 PM,8,13,14,13,12,0,71,0.0,1032,15,10,194,9,"Portugal,+Velas"
2020-02-23,16,13,0.0,11.0,4,0,07:51 AM,06:36 PM,07:35 AM,06:39 PM,10,13,14,13,16,0,76,0.0,1031,16,10,203,11,"Portugal,+Velas"
2020-02-24,15,13,0.0,11.1,4,0,08:20 AM,07:34 PM,07:33 AM,06:40 PM,11,14,14,14,15,17,81,0.0,1031,15,10,267,10,"Portugal,+Velas"
2020-02-25,16,14,0.0,11.1,4,8,08:46 AM,08:31 PM,07:32 AM,06:41 PM,10,15,15,15,9,4,74,0.0,1031,16,10,124,6,"Portugal,+Velas"
2020-02-26,16,14,0.0,11.1,5,15,09:12 AM,09:28 PM,07:30 AM,06:42 PM,12,14,15,14,20,12,82,0.0,1026,16,10,144,13,"Portugal,+Velas"
2020-02-27,17,15,0.0,5.6,4,23,09:37 AM,10:24 PM,07:29 AM,06:43 PM,14,16,16,16,9,77,88,4.0,1021,17,10,173,6,"Portugal,+Velas"
2020-02-28,15,15,0.0,10.1,4,30,10:02 AM,11:22 PM,07:28 AM,06:44 PM,13,15,15,15,15,65,89,2.7,1022,15,10,65,10,"Portugal,+Velas"
2020-02-29,16,15,0.0,10.1,4,38,10:29 AM,No moonset,07:26 AM,06:45 PM,13,15,15,15,33,48,87,0.3,1020,16,10,257,24,"Portugal,+Velas"
2020-03-01,16,11,0.0,8.6,4,44,11:00 AM,12:20 AM,07:25 AM,06:46 PM,13,14,15,14,41,53,84,0.3,1019,16,10,253,30,"Portugal,+Velas"
2020-03-02,17,16,0.0,8.6,4,51,11:35 AM,01:20 AM,07:23 AM,06:47 PM,14,17,17,17,38,54,87,0.6,1020,17,10,237,26,"Portugal,+Velas"
2020-03-03,18,16,0.0,5.6,4,58,12:16 PM,02:21 AM,07:22 AM,06:48 PM,15,17,17,17,42,77,90,4.9,1018,18,10,220,27,"Portugal,+Velas"
2020-03-04,15,7,0.0,8.6,3,65,01:05 PM,03:22 AM,07:20 AM,06:49 PM,10,12,14,12,40,65,73,3.7,1023,15,10,291,31,"Portugal,+Velas"
2020-03-05,14,12,0.0,11.3,4,73,02:02 PM,04:20 AM,07:19 AM,06:50 PM,8,12,13,12,15,8,69,0.0,1033,14,10,140,11,"Portugal,+Velas"
2020-03-06,15,8,0.0,8.6,3,80,03:08 PM,05:14 AM,07:17 AM,06:51 PM,11,12,14,12,30,61,79,0.9,1030,15,10,169,22,"Portugal,+Velas"
2020-03-07,17,13,0.0,5.7,4,87,04:19 PM,06:03 AM,07:16 AM,06:52 PM,14,16,16,16,32,88,91,15.4,1023,17,8,215,21,"Portugal,+Velas"
2020-03-08,17,15,0.0,8.6,4,95,05:35 PM,06:46 AM,07:14 AM,06:53 PM,15,16,16,16,19,56,93,0.6,1027,17,8,160,12,"Portugal,+Velas"
2020-03-09,16,15,0.0,11.4,5,100,06:50 PM,07:24 AM,07:13 AM,06:54 PM,13,15,16,15,30,15,86,0.0,1027,16,10,200,21,"Portugal,+Velas"
2020-03-10,16,13,0.0,5.7,4,100,08:05 PM,07:59 AM,07:11 AM,06:55 PM,13,15,15,15,29,82,85,3.3,1022,16,10,215,20,"Portugal,+Velas"
2020-03-11,13,12,0.0,5.7,3,84,09:20 PM,08:32 AM,07:10 AM,06:56 PM,10,10,12,10,30,84,84,14.3,1024,13,8,21,23,"Portugal,+Velas"
2020-03-12,14,12,0.0,8.7,3,76,10:33 PM,09:06 AM,07:08 AM,06:57 PM,9,11,13,11,25,60,77,0.5,1029,14,9,60,19,"Portugal,+Velas"
2020-03-13,15,14,0.0,11.5,4,69,11:46 PM,09:41 AM,07:07 AM,06:58 PM,10,13,14,13,18,21,77,0.1,1031,15,10,74,13,"Portugal,+Velas"
2020-03-14,15,13,0.0,10.1,3,62,No moonrise,10:18 AM,07:05 AM,06:59 PM,10,14,14,14,9,30,76,0.0,1029,15,10,208,7,"Portugal,+Velas"
2020-03-15,16,13,0.0,11.6,4,55,12:56 AM,11:00 AM,07:04 AM,07:00 PM,10,14,14,14,9,12,75,0.0,1029,16,10,142,7,"Portugal,+Velas"
2020-03-16,16,12,0.0,11.6,4,47,02:01 AM,11:47 AM,07:02 AM,07:01 PM,10,14,15,14,18,0,76,0.0,1029,16,10,205,13,"Portugal,+Velas"
2020-03-17,16,15,0.0,11.6,5,40,03:02 AM,12:38 PM,07:00 AM,07:02 PM,12,15,16,15,25,7,78,0.0,1029,16,10,210,18,"Portugal,+Velas"
2020-03-18,16,14,0.0,6.2,4,33,03:55 AM,01:34 PM,06:59 AM,07:03 PM,13,15,15,15,26,65,87,6.6,1029,16,9,201,19,"Portugal,+Velas"
2020-03-19,13,12,0.0,10.3,4,25,04:40 AM,02:31 PM,06:57 AM,07:04 PM,6,10,12,10,31,41,68,0.3,1032,13,10,72,24,"Portugal,+Velas"
2020-03-20,14,12,0.0,6.2,3,18,05:20 AM,03:31 PM,06:56 AM,07:05 PM,7,11,13,11,21,69,68,0.1,1029,14,10,137,16,"Portugal,+Velas"
2020-03-21,14,11,0.0,10.3,3,11,05:54 AM,04:29 PM,06:54 AM,07:06 PM,9,10,13,10,27,46,75,0.2,1028,14,10,164,22,"Portugal,+Velas"
2020-03-22,12,10,0.0,11.6,3,4,06:23 AM,05:28 PM,06:53 AM,07:07 PM,5,10,11,10,18,21,65,0.0,1029,12,10,12,13,"Portugal,+Velas"
2020-03-23,14,11,0.0,11.6,4,0,06:50 AM,06:25 PM,06:51 AM,07:08 PM,7,12,12,12,11,14,68,0.0,1027,14,10,281,8,"Portugal,+Velas"
