date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,13,9,0.0,4.9,3,83,08:51 PM,10:46 AM,08:48 AM,06:28 PM,6,8,10,8,33,71,76,1.7,1018,13,10,332,22,"Portugal,+Portimao"
2021-01-02,13,8,0.0,9.8,3,76,09:57 PM,11:26 AM,08:48 AM,06:29 PM,5,7,10,7,28,21,73,0.7,1019,13,10,309,18,"Portugal,+Portimao"
2021-01-03,13,6,0.0,9.8,3,69,11:04 PM,12:02 PM,08:48 AM,06:29 PM,4,7,9,7,20,22,73,0.1,1020,13,10,242,12,"Portugal,+Portimao"
2021-01-04,12,7,0.0,9.8,2,62,No moonrise,12:33 PM,08:48 AM,06:30 PM,4,9,9,9,10,48,71,0.2,1017,12,10,174,6,"Portugal,+Portimao"
2021-01-05,12,8,0.0,4.9,2,56,12:11 AM,01:04 PM,08:48 AM,06:31 PM,5,7,9,7,18,61,76,0.0,1013,12,10,77,12,"Portugal,+Portimao"
2021-01-06,11,6,0.0,6.6,2,49,01:18 AM,01:33 PM,08:48 AM,06:32 PM,5,5,8,5,27,59,78,3.9,1009,11,10,57,18,"Portugal,+Portimao"
2021-01-07,10,7,0.0,6.6,2,42,02:26 AM,02:04 PM,08:48 AM,06:33 PM,4,5,8,5,25,67,77,0.1,1008,10,10,22,18,"Portugal,+Portimao"
2021-01-08,10,6,0.0,8.3,2,35,03:36 AM,02:37 PM,08:48 AM,06:34 PM,2,4,8,4,33,65,68,0.1,1006,10,10,47,26,"Portugal,+Portimao"
2021-01-09,10,5,0.0,9.9,3,28,04:47 AM,03:16 PM,08:48 AM,06:35 PM,0,3,7,3,32,30,63,0.2,1006,10,10,329,22,"Portugal,+Portimao"
2021-01-10,9,3,0.0,9.9,3,22,06:00 AM,04:01 PM,08:48 AM,06:36 PM,1,2,5,2,25,26,75,0.0,1011,9,10,152,17,"Portugal,+Portimao"
2021-01-11,11,4,0.0,9.9,3,15,07:10 AM,04:53 PM,08:48 AM,06:37 PM,1,3,6,3,24,5,72,0.0,1020,11,10,10,15,"Portugal,+Portimao"
2021-01-12,12,4,0.0,9.9,3,8,08:15 AM,05:53 PM,08:47 AM,06:38 PM,0,6,7,6,16,0,62,0.0,1029,12,10,70,9,"Portugal,+Portimao"
2021-01-13,13,5,0.0,9.9,3,1,09:13 AM,06:58 PM,08:47 AM,06:39 PM,0,6,8,6,16,1,59,0.0,1031,13,10,154,9,"Portugal,+Portimao"
2021-01-14,14,6,0.0,9.9,3,5,10:00 AM,08:05 PM,08:47 AM,06:40 PM,5,7,9,7,20,9,76,0.0,1030,14,10,289,12,"Portugal,+Portimao"
2021-01-15,14,8,0.0,9.9,4,12,10:40 AM,09:11 PM,08:47 AM,06:41 PM,7,9,10,9,19,12,78,0.0,1028,14,10,180,11,"Portugal,+Portimao"
2021-01-16,15,8,0.0,10.0,4,19,11:14 AM,10:14 PM,08:46 AM,06:42 PM,5,10,12,10,16,0,74,0.0,1027,15,10,105,9,"Portugal,+Portimao"
2021-01-17,16,9,0.0,10.0,4,26,11:43 AM,11:15 PM,08:46 AM,06:43 PM,5,11,12,11,14,5,65,0.0,1028,16,10,123,7,"Portugal,+Portimao"
2021-01-18,14,8,0.0,10.0,4,33,12:09 PM,No moonset,08:45 AM,06:44 PM,5,10,11,10,14,1,68,0.0,1026,14,10,101,8,"Portugal,+Portimao"
2021-01-19,14,9,0.0,6.7,3,39,12:34 PM,12:13 AM,08:45 AM,06:45 PM,8,11,12,11,18,72,76,0.1,1023,14,10,159,12,"Portugal,+Portimao"
2021-01-20,16,12,0.0,6.7,3,46,12:59 PM,01:10 AM,08:45 AM,06:46 PM,11,13,15,13,44,85,79,10.6,1014,16,9,244,31,"Portugal,+Portimao"
2021-01-21,16,12,0.0,6.7,3,53,01:26 PM,02:07 AM,08:44 AM,06:47 PM,12,13,14,13,37,79,87,1.4,1019,16,10,249,24,"Portugal,+Portimao"
2021-01-22,15,12,0.0,10.0,3,60,01:54 PM,03:04 AM,08:44 AM,06:48 PM,11,13,14,13,42,54,80,0.5,1020,15,10,283,29,"Portugal,+Portimao"
2021-01-23,15,12,0.0,5.0,3,66,02:25 PM,04:02 AM,08:43 AM,06:49 PM,10,12,13,12,33,84,81,0.9,1021,15,10,267,22,"Portugal,+Portimao"
2021-01-24,17,11,0.0,5.0,4,73,03:02 PM,05:01 AM,08:42 AM,06:50 PM,14,14,15,14,30,88,91,1.5,1018,17,8,263,20,"Portugal,+Portimao"
2021-01-25,17,14,0.0,5.0,4,80,03:46 PM,06:00 AM,08:42 AM,06:51 PM,13,15,15,15,27,64,89,0.7,1020,17,10,270,18,"Portugal,+Portimao"
2021-01-26,17,14,0.0,5.1,4,87,04:36 PM,06:58 AM,08:41 AM,06:52 PM,15,16,16,16,18,79,94,0.0,1025,17,6,290,11,"Portugal,+Portimao"
2021-01-27,19,15,0.0,10.1,4,93,05:34 PM,07:52 AM,08:40 AM,06:54 PM,14,16,16,16,12,33,89,0.0,1027,19,8,149,7,"Portugal,+Portimao"
2021-01-28,19,14,0.0,10.2,4,100,06:37 PM,08:40 AM,08:40 AM,06:55 PM,13,15,16,15,10,33,83,0.0,1024,19,10,120,6,"Portugal,+Portimao"
2021-01-29,18,12,0.0,10.2,4,93,07:45 PM,09:24 AM,08:39 AM,06:56 PM,12,14,14,14,17,15,87,0.0,1024,18,10,305,10,"Portugal,+Portimao"
2021-01-30,16,13,0.0,10.0,4,86,08:53 PM,10:01 AM,08:38 AM,06:57 PM,12,14,15,14,26,57,82,0.3,1023,16,10,287,19,"Portugal,+Portimao"
2021-01-31,15,13,0.0,5.1,3,79,10:02 PM,10:35 AM,08:37 AM,06:58 PM,12,13,14,13,26,84,85,0.3,1024,15,10,286,18,"Portugal,+Portimao"
2021-02-01,18,14,0.0,10.0,4,73,11:11 PM,11:06 AM,08:37 AM,06:59 PM,13,15,15,15,17,63,89,0.7,1023,18,9,294,11,"Portugal,+Portimao"
2021-02-02,17,13,0.0,5.3,4,66,No moonrise,11:36 AM,08:36 AM,07:00 PM,12,15,15,15,14,80,86,0.6,1020,17,10,214,10,"Portugal,+Portimao"
2021-02-03,15,14,0.0,5.3,4,59,12:19 AM,12:06 PM,08:35 AM,07:01 PM,13,14,15,14,22,86,88,3.6,1016,15,9,222,16,"Portugal,+Portimao"
2021-02-04,13,11,0.0,5.3,3,52,01:28 AM,12:38 PM,08:34 AM,07:02 PM,11,13,13,13,7,85,89,9.5,1010,13,9,212,5,"Portugal,+Portimao"
2021-02-05,13,9,0.0,5.4,3,46,02:38 AM,01:15 PM,08:33 AM,07:04 PM,10,10,12,10,31,88,89,15.7,1000,13,8,160,23,"Portugal,+Portimao"
2021-02-06,13,8,0.0,8.5,3,39,03:49 AM,01:56 PM,08:32 AM,07:05 PM,7,9,11,9,40,61,74,0.7,1007,13,10,314,28,"Portugal,+Portimao"
2021-02-07,13,9,0.0,5.4,3,32,04:58 AM,02:44 PM,08:31 AM,07:06 PM,8,9,12,9,32,75,75,0.8,1014,13,10,294,23,"Portugal,+Portimao"
2021-02-08,15,12,0.0,5.4,3,25,06:03 AM,03:40 PM,08:30 AM,07:07 PM,10,12,14,12,38,76,81,6.0,1013,15,9,276,27,"Portugal,+Portimao"
2021-02-09,15,12,0.0,6.9,3,18,07:02 AM,04:42 PM,08:29 AM,07:08 PM,11,12,14,12,42,75,85,1.2,1012,15,10,249,27,"Portugal,+Portimao"
2021-02-10,16,14,0.0,5.4,4,12,07:53 AM,05:48 PM,08:28 AM,07:09 PM,13,14,15,14,30,72,92,1.8,1017,16,9,260,20,"Portugal,+Portimao"
2021-02-11,17,14,0.0,7.0,4,5,08:35 AM,06:53 PM,08:27 AM,07:10 PM,14,15,15,15,16,67,91,0.4,1021,17,7,222,11,"Portugal,+Portimao"
2021-02-12,17,12,0.0,10.9,4,2,09:11 AM,07:58 PM,08:26 AM,07:11 PM,11,14,14,14,14,30,84,0.0,1024,17,9,212,9,"Portugal,+Portimao"
2021-02-13,18,11,0.0,10.9,4,9,09:42 AM,09:00 PM,08:25 AM,07:12 PM,8,13,14,13,14,16,68,0.0,1026,18,10,88,8,"Portugal,+Portimao"
2021-02-14,18,11,0.0,10.1,3,15,10:09 AM,10:00 PM,08:24 AM,07:13 PM,5,13,14,13,18,33,57,0.0,1026,18,10,69,10,"Portugal,+Portimao"
2021-02-15,16,13,0.0,10.9,4,22,10:35 AM,10:58 PM,08:23 AM,07:14 PM,11,13,14,13,50,3,79,0.0,1026,16,10,120,34,"Portugal,+Portimao"
2021-02-16,16,13,0.0,10.9,4,29,11:00 AM,11:56 PM,08:21 AM,07:15 PM,13,14,14,14,22,21,89,0.0,1027,16,10,125,15,"Portugal,+Portimao"
2021-02-17,18,11,0.0,11.0,4,36,11:26 AM,No moonset,08:20 AM,07:16 PM,10,14,14,14,11,22,77,0.0,1024,18,10,137,6,"Portugal,+Portimao"
2021-02-18,18,12,0.0,11.0,5,42,11:53 AM,12:53 AM,08:19 AM,07:18 PM,11,14,14,14,12,23,79,0.0,1019,18,10,249,8,"Portugal,+Portimao"
2021-02-19,17,13,0.0,11.0,5,49,12:22 PM,01:51 AM,08:18 AM,07:19 PM,12,14,15,14,23,15,86,0.0,1017,17,10,192,15,"Portugal,+Portimao"
2021-02-20,17,14,0.0,10.1,5,56,12:57 PM,02:49 AM,08:17 AM,07:20 PM,12,15,15,15,41,51,83,1.4,1010,17,10,178,28,"Portugal,+Portimao"
2021-02-21,14,11,0.0,8.6,3,63,01:37 PM,03:48 AM,08:15 AM,07:21 PM,8,10,12,10,32,68,78,6.9,1008,14,8,292,24,"Portugal,+Portimao"
2021-02-22,14,9,0.0,7.1,3,70,02:23 PM,04:45 AM,08:14 AM,07:22 PM,7,10,11,10,16,54,73,1.3,1021,14,10,198,10,"Portugal,+Portimao"
2021-02-23,14,11,0.0,7.1,3,76,03:18 PM,05:40 AM,08:13 AM,07:23 PM,9,11,13,11,21,67,77,0.0,1027,14,10,120,15,"Portugal,+Portimao"
2021-02-24,17,13,0.0,10.1,3,83,04:19 PM,06:30 AM,08:12 AM,07:24 PM,11,13,14,13,41,31,80,0.0,1027,17,10,117,28,"Portugal,+Portimao"
2021-02-25,15,12,0.0,8.6,3,90,05:25 PM,07:16 AM,08:10 AM,07:25 PM,11,13,14,13,15,62,84,3.4,1024,15,10,304,10,"Portugal,+Portimao"
2021-02-26,16,13,0.0,5.6,3,97,06:34 PM,07:57 AM,08:09 AM,07:26 PM,11,14,14,14,19,78,85,1.6,1024,16,10,133,13,"Portugal,+Portimao"
2021-02-27,17,11,0.0,11.2,4,97,07:45 PM,08:32 AM,08:08 AM,07:27 PM,10,13,14,13,16,22,78,0.0,1022,17,10,81,9,"Portugal,+Portimao"
2021-02-28,16,12,0.0,11.2,4,90,08:55 PM,09:05 AM,08:06 AM,07:28 PM,10,13,14,13,19,20,80,0.0,1017,16,10,93,13,"Portugal,+Portimao"
2021-03-01,17,12,0.0,8.6,3,83,10:06 PM,09:36 AM,08:05 AM,07:29 PM,10,13,14,13,19,59,80,0.9,1018,17,10,126,12,"Portugal,+Portimao"
2021-03-02,17,10,0.0,10.1,3,76,11:18 PM,10:07 AM,08:04 AM,07:30 PM,11,13,14,13,16,42,83,0.3,1023,17,10,93,10,"Portugal,+Portimao"
2021-03-03,17,11,0.0,11.3,4,69,No moonrise,10:39 AM,08:02 AM,07:31 PM,11,13,14,13,31,11,81,0.0,1024,17,10,79,21,"Portugal,+Portimao"
2021-03-04,15,13,0.0,5.7,3,63,12:29 AM,11:15 AM,08:01 AM,07:32 PM,12,13,14,13,32,71,84,4.7,1017,15,10,154,22,"Portugal,+Portimao"
2021-03-05,15,11,0.0,5.9,3,56,01:41 AM,11:55 AM,07:59 AM,07:33 PM,10,12,13,12,19,74,84,3.9,1013,15,10,126,13,"Portugal,+Portimao"
2021-03-06,17,11,0.0,10.2,3,49,02:51 AM,12:41 PM,07:58 AM,07:33 PM,10,13,14,13,23,50,80,1.9,1017,17,10,126,14,"Portugal,+Portimao"
2021-03-07,17,11,0.0,11.6,4,42,03:58 AM,01:34 PM,07:57 AM,07:34 PM,10,13,14,13,23,7,78,0.0,1018,17,10,287,14,"Portugal,+Portimao"
2021-03-08,14,9,0.0,11.6,4,36,04:58 AM,02:33 PM,07:55 AM,07:35 PM,8,10,11,10,24,21,79,0.0,1017,14,10,328,18,"Portugal,+Portimao"
2021-03-09,16,8,0.0,11.6,4,29,05:50 AM,03:37 PM,07:54 AM,07:36 PM,6,10,12,10,21,2,70,0.0,1018,16,10,310,13,"Portugal,+Portimao"
2021-03-10,17,9,0.0,11.6,4,22,06:33 AM,04:41 PM,07:52 AM,07:37 PM,6,11,12,11,21,7,66,0.0,1023,17,10,135,12,"Portugal,+Portimao"
2021-03-11,18,10,0.0,11.6,4,15,07:11 AM,05:46 PM,07:51 AM,07:38 PM,9,13,13,13,18,7,76,0.0,1027,18,10,145,11,"Portugal,+Portimao"
2021-03-12,18,10,0.0,10.2,3,9,07:43 AM,06:48 PM,07:50 AM,07:39 PM,10,12,13,12,20,23,78,0.1,1025,18,10,334,13,"Portugal,+Portimao"
2021-03-13,16,8,0.0,11.6,4,2,08:11 AM,07:49 PM,07:48 AM,07:40 PM,7,10,12,10,26,4,72,0.0,1025,16,10,220,17,"Portugal,+Portimao"
2021-03-14,18,8,0.0,11.6,4,5,08:37 AM,08:47 PM,07:47 AM,07:41 PM,7,11,13,11,25,17,71,0.0,1025,18,10,31,16,"Portugal,+Portimao"
2021-03-15,18,11,0.0,8.8,4,12,09:02 AM,09:46 PM,07:45 AM,07:42 PM,8,13,14,13,23,42,68,0.0,1022,18,10,95,13,"Portugal,+Portimao"
2021-03-16,20,12,0.0,11.6,5,19,09:27 AM,10:43 PM,07:44 AM,07:43 PM,9,15,15,15,23,23,66,0.0,1021,20,10,89,13,"Portugal,+Portimao"
2021-03-17,18,12,0.0,11.6,5,25,09:53 AM,11:41 PM,07:42 AM,07:44 PM,9,14,15,14,17,4,71,0.0,1018,18,10,120,10,"Portugal,+Portimao"
2021-03-18,18,11,0.0,11.6,5,32,10:21 AM,No moonset,07:41 AM,07:45 PM,6,13,14,13,27,7,60,0.0,1016,18,10,54,16,"Portugal,+Portimao"
2021-03-19,16,9,0.0,11.6,4,39,10:53 AM,12:39 AM,07:39 AM,07:45 PM,4,11,12,11,23,7,58,0.0,1015,16,10,77,13,"Portugal,+Portimao"
2021-03-20,15,10,0.0,11.6,4,46,11:31 AM,01:37 AM,07:38 AM,07:46 PM,4,10,12,10,35,9,60,0.0,1015,15,10,85,24,"Portugal,+Portimao"
2021-03-21,17,7,0.0,11.6,4,52,12:13 PM,02:34 AM,07:36 AM,07:47 PM,2,11,12,11,23,0,52,0.0,1021,17,10,103,12,"Portugal,+Portimao"
2021-03-22,18,9,0.0,11.6,4,59,01:04 PM,03:30 AM,07:35 AM,07:48 PM,5,12,13,12,17,3,62,0.0,1020,18,10,237,9,"Portugal,+Portimao"
2021-03-23,18,11,0.0,11.6,4,66,02:01 PM,04:21 AM,07:33 AM,07:49 PM,8,13,14,13,18,23,66,0.0,1022,18,10,227,11,"Portugal,+Portimao"
2021-03-24,18,10,0.0,11.6,4,73,03:04 PM,05:08 AM,07:32 AM,07:50 PM,9,13,13,13,17,12,74,0.0,1025,18,10,229,10,"Portugal,+Portimao"
2021-03-25,17,8,0.0,8.9,3,80,04:11 PM,05:50 AM,07:30 AM,07:51 PM,7,11,12,11,18,32,74,0.0,1023,17,10,198,11,"Portugal,+Portimao"
2021-03-26,18,9,0.0,11.6,4,86,05:21 PM,06:27 AM,07:29 AM,07:52 PM,8,12,14,12,22,14,70,0.0,1021,18,10,108,13,"Portugal,+Portimao"
2021-03-27,19,12,0.0,8.9,4,93,06:32 PM,07:01 AM,07:27 AM,07:53 PM,8,15,15,15,31,47,63,0.0,1016,19,10,61,18,"Portugal,+Portimao"
2021-03-28,20,14,0.0,10.2,4,100,07:44 PM,07:33 AM,07:26 AM,07:53 PM,11,16,16,16,22,58,72,0.7,1016,20,10,113,13,"Portugal,+Portimao"
2021-03-29,19,14,0.0,11.6,4,93,08:57 PM,08:04 AM,07:24 AM,07:54 PM,13,16,16,16,31,42,79,2.0,1019,19,10,103,22,"Portugal,+Portimao"
2021-03-30,21,15,0.0,10.2,4,87,10:11 PM,08:36 AM,07:23 AM,07:55 PM,12,18,18,18,45,43,70,1.0,1017,21,10,91,29,"Portugal,+Portimao"
