date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01,6,1,0.0,3.6,1,83,07:37 PM,09:56 AM,07:58 AM,05:14 PM,2,2,3,2,6,76,93,5.1,1016,6,5,281,4,"Portugal,+Celorico+de+Basto"
2021-01-02,8,0,0.0,8.7,1,76,08:46 PM,10:34 AM,07:58 AM,05:14 PM,2,4,4,4,4,31,87,0.0,1019,8,8,167,3,"Portugal,+Celorico+de+Basto"
2021-01-03,8,-1,0.0,7.0,1,69,09:56 PM,11:07 AM,07:58 AM,05:15 PM,1,3,3,3,6,41,84,1.0,1019,8,10,194,4,"Portugal,+Celorico+de+Basto"
2021-01-04,8,1,0.0,5.3,1,62,11:06 PM,11:36 AM,07:58 AM,05:16 PM,2,4,4,4,3,59,84,0.0,1016,8,9,214,2,"Portugal,+Celorico+de+Basto"
2021-01-05,11,1,0.0,8.7,3,56,No moonrise,12:03 PM,07:58 AM,05:17 PM,0,5,6,5,5,4,75,0.0,1015,11,10,118,3,"Portugal,+Celorico+de+Basto"
2021-01-06,9,1,0.0,8.7,3,49,12:16 AM,12:29 PM,07:58 AM,05:18 PM,-1,3,5,3,12,4,72,0.0,1014,9,10,90,8,"Portugal,+Celorico+de+Basto"
2021-01-07,9,-0,0.0,8.7,2,42,01:28 AM,12:57 PM,07:58 AM,05:19 PM,-3,2,4,2,12,1,66,0.0,1014,9,10,77,7,"Portugal,+Celorico+de+Basto"
2021-01-08,7,-1,0.0,8.7,2,35,02:40 AM,01:28 PM,07:58 AM,05:20 PM,-6,-1,2,-1,18,31,59,0.0,1013,7,10,68,10,"Portugal,+Celorico+de+Basto"
2021-01-09,7,-1,0.0,7.0,1,28,03:55 AM,02:03 PM,07:58 AM,05:21 PM,-3,0,2,0,10,47,71,0.1,1008,7,9,63,7,"Portugal,+Celorico+de+Basto"
2021-01-10,10,0,0.0,8.7,2,22,05:10 AM,02:45 PM,07:58 AM,05:22 PM,-1,2,4,2,11,34,72,0.4,1015,10,10,65,8,"Portugal,+Celorico+de+Basto"
2021-01-11,9,0,0.0,8.7,3,15,06:22 AM,03:37 PM,07:57 AM,05:23 PM,-2,2,4,2,10,0,68,0.0,1026,9,10,98,7,"Portugal,+Celorico+de+Basto"
2021-01-12,13,1,0.0,8.7,3,8,07:28 AM,04:36 PM,07:57 AM,05:24 PM,-0,5,7,5,7,7,71,0.0,1030,13,10,110,4,"Portugal,+Celorico+de+Basto"
2021-01-13,12,1,0.0,8.7,3,1,08:24 AM,05:42 PM,07:57 AM,05:26 PM,-1,4,6,4,8,44,69,0.0,1031,12,10,100,4,"Portugal,+Celorico+de+Basto"
2021-01-14,13,-1,0.0,8.7,3,5,09:11 AM,06:51 PM,07:56 AM,05:27 PM,2,6,6,6,6,12,76,0.0,1031,13,10,168,3,"Portugal,+Celorico+de+Basto"
2021-01-15,14,4,0.0,8.7,3,12,09:48 AM,08:00 PM,07:56 AM,05:28 PM,5,7,8,7,8,8,83,0.0,1029,14,10,94,4,"Portugal,+Celorico+de+Basto"
2021-01-16,16,3,0.0,8.7,3,19,10:19 AM,09:06 PM,07:55 AM,05:29 PM,3,8,9,8,9,1,75,0.0,1030,16,10,95,6,"Portugal,+Celorico+de+Basto"
2021-01-17,13,2,0.0,8.7,3,26,10:46 AM,10:09 PM,07:55 AM,05:30 PM,0,7,8,7,11,4,68,0.0,1030,13,10,96,6,"Portugal,+Celorico+de+Basto"
2021-01-18,14,1,0.0,8.7,3,33,11:10 AM,11:10 PM,07:54 AM,05:31 PM,3,6,7,6,11,3,77,0.0,1027,14,10,102,6,"Portugal,+Celorico+de+Basto"
2021-01-19,12,4,0.0,7.0,2,39,11:32 AM,No moonset,07:54 AM,05:33 PM,3,6,7,6,10,32,77,0.0,1021,12,10,121,6,"Portugal,+Celorico+de+Basto"
2021-01-20,10,7,0.0,3.7,2,46,11:54 AM,12:10 AM,07:53 AM,05:34 PM,8,6,9,6,25,98,95,36.3,1006,10,7,198,16,"Portugal,+Celorico+de+Basto"
2021-01-21,9,2,0.0,3.7,2,53,12:17 PM,01:10 AM,07:53 AM,05:35 PM,8,5,8,5,41,99,96,33.4,1010,9,7,243,21,"Portugal,+Celorico+de+Basto"
2021-01-22,8,4,0.0,3.7,2,60,12:43 PM,02:09 AM,07:52 AM,05:36 PM,5,3,7,3,45,91,88,31.7,1011,8,8,262,26,"Portugal,+Celorico+de+Basto"
2021-01-23,13,4,0.0,3.7,2,66,01:13 PM,03:10 AM,07:51 AM,05:37 PM,7,5,8,5,39,95,94,33.1,1012,13,8,251,24,"Portugal,+Celorico+de+Basto"
2021-01-24,12,4,0.0,3.7,3,73,01:47 PM,04:11 AM,07:51 AM,05:39 PM,10,8,10,8,14,91,96,6.3,1013,12,10,238,11,"Portugal,+Celorico+de+Basto"
2021-01-25,13,6,0.0,3.7,3,80,02:29 PM,05:12 AM,07:50 AM,05:40 PM,12,10,12,10,17,100,99,12.4,1014,13,7,246,13,"Portugal,+Celorico+de+Basto"
2021-01-26,15,12,0.0,3.7,3,87,03:19 PM,06:10 AM,07:49 AM,05:41 PM,13,14,14,14,7,100,99,15.6,1022,15,6,230,5,"Portugal,+Celorico+de+Basto"
2021-01-27,17,8,0.0,3.7,3,93,04:17 PM,07:04 AM,07:48 AM,05:42 PM,13,13,13,13,5,97,96,0.7,1026,17,5,234,4,"Portugal,+Celorico+de+Basto"
2021-01-28,18,13,0.0,7.0,3,100,05:23 PM,07:51 AM,07:47 AM,05:44 PM,13,14,14,14,5,82,92,0.3,1024,18,5,210,5,"Portugal,+Celorico+de+Basto"
2021-01-29,15,5,0.0,3.7,3,93,06:32 PM,08:32 AM,07:46 AM,05:45 PM,12,12,13,12,10,95,93,1.3,1021,15,6,221,8,"Portugal,+Celorico+de+Basto"
2021-01-30,11,2,0.0,3.8,2,86,07:44 PM,09:08 AM,07:45 AM,05:46 PM,7,6,9,6,38,91,89,26.2,1017,11,9,266,24,"Portugal,+Celorico+de+Basto"
2021-01-31,14,8,0.0,3.8,3,79,08:56 PM,09:39 AM,07:45 AM,05:47 PM,11,10,12,10,20,96,97,12.9,1017,14,8,266,16,"Portugal,+Celorico+de+Basto"
2021-02-01,13,5,0.0,3.8,3,73,10:07 PM,10:06 AM,07:44 AM,05:49 PM,10,9,11,9,16,94,95,4.7,1018,13,10,241,11,"Portugal,+Celorico+de+Basto"
2021-02-02,15,5,0.0,3.8,3,66,11:19 PM,10:33 AM,07:43 AM,05:50 PM,11,11,12,11,12,93,92,2.3,1015,15,9,208,9,"Portugal,+Celorico+de+Basto"
2021-02-03,13,9,0.0,5.4,3,59,No moonrise,11:01 AM,07:42 AM,05:51 PM,9,9,11,9,21,80,90,22.1,1011,13,9,216,14,"Portugal,+Celorico+de+Basto"
2021-02-04,14,7,0.0,7.1,3,52,12:31 AM,11:30 AM,07:40 AM,05:52 PM,7,9,9,9,6,64,86,1.6,1011,14,8,107,4,"Portugal,+Celorico+de+Basto"
2021-02-05,10,-0,0.0,3.8,2,46,01:45 AM,12:03 PM,07:39 AM,05:54 PM,5,4,6,4,10,76,92,12.4,1005,10,8,49,6,"Portugal,+Celorico+de+Basto"
2021-02-06,10,-0,0.0,3.8,2,39,02:58 AM,12:41 PM,07:38 AM,05:55 PM,5,5,7,5,11,81,89,10.6,1004,10,7,327,7,"Portugal,+Celorico+de+Basto"
2021-02-07,6,-2,0.0,3.8,1,32,04:09 AM,01:28 PM,07:37 AM,05:56 PM,3,2,3,2,7,62,92,19.9,1009,6,9,155,5,"Portugal,+Celorico+de+Basto"
2021-02-08,10,6,0.0,3.8,2,25,05:16 AM,02:23 PM,07:36 AM,05:57 PM,8,6,9,6,23,95,94,37.7,1005,10,8,258,14,"Portugal,+Celorico+de+Basto"
2021-02-09,10,7,0.0,3.8,2,18,06:14 AM,03:26 PM,07:35 AM,05:59 PM,8,6,9,6,24,100,94,72.7,1002,10,5,240,18,"Portugal,+Celorico+de+Basto"
2021-02-10,13,5,0.0,6.9,2,12,07:04 AM,04:32 PM,07:34 AM,06:00 PM,5,7,8,7,16,80,82,8.7,1012,13,9,218,10,"Portugal,+Celorico+de+Basto"
2021-02-11,14,9,0.0,5.3,3,5,07:44 AM,05:41 PM,07:32 AM,06:01 PM,11,11,12,11,13,96,95,13.9,1016,14,7,187,9,"Portugal,+Celorico+de+Basto"
2021-02-12,14,5,0.0,6.9,3,2,08:17 AM,06:48 PM,07:31 AM,06:02 PM,8,9,10,9,11,67,91,23.9,1022,14,10,235,7,"Portugal,+Celorico+de+Basto"
2021-02-13,14,5,0.0,10.0,3,9,08:45 AM,07:53 PM,07:30 AM,06:03 PM,7,9,9,9,4,56,84,0.0,1026,14,9,140,2,"Portugal,+Celorico+de+Basto"
2021-02-14,19,5,0.0,10.8,3,15,09:11 AM,08:56 PM,07:28 AM,06:05 PM,6,11,12,11,8,18,74,0.0,1026,19,10,131,5,"Portugal,+Celorico+de+Basto"
2021-02-15,16,4,0.0,10.8,4,22,09:34 AM,09:57 PM,07:27 AM,06:06 PM,5,10,11,10,12,14,74,0.0,1026,16,10,116,7,"Portugal,+Celorico+de+Basto"
2021-02-16,14,8,0.0,5.4,3,29,09:56 AM,10:57 PM,07:26 AM,06:07 PM,9,10,11,10,13,81,92,11.3,1025,14,9,200,9,"Portugal,+Celorico+de+Basto"
2021-02-17,16,10,0.0,5.4,3,36,10:18 AM,11:57 PM,07:24 AM,06:08 PM,11,12,12,12,10,90,92,7.9,1021,16,9,193,7,"Portugal,+Celorico+de+Basto"
2021-02-18,13,6,0.0,7.0,2,42,10:43 AM,No moonset,07:23 AM,06:10 PM,8,8,9,8,16,80,90,38.4,1015,13,8,212,10,"Portugal,+Celorico+de+Basto"
2021-02-19,13,8,0.0,5.4,3,49,11:11 AM,12:57 AM,07:22 AM,06:11 PM,9,10,10,10,11,86,91,0.8,1013,13,9,156,7,"Portugal,+Celorico+de+Basto"
2021-02-20,9,5,0.0,5.5,2,56,11:43 AM,01:58 AM,07:20 AM,06:12 PM,7,6,8,6,18,100,92,38.2,1006,9,7,188,9,"Portugal,+Celorico+de+Basto"
2021-02-21,6,1,0.0,5.5,1,63,12:20 PM,02:59 AM,07:19 AM,06:13 PM,2,1,3,1,19,87,89,41.2,1006,6,8,283,9,"Portugal,+Celorico+de+Basto"
2021-02-22,11,-1,0.0,11.0,2,70,01:07 PM,03:57 AM,07:17 AM,06:14 PM,0,3,4,3,7,21,78,0.1,1020,11,7,219,4,"Portugal,+Celorico+de+Basto"
2021-02-23,10,0,0.0,7.0,2,76,02:01 PM,04:52 AM,07:16 AM,06:16 PM,0,3,5,3,15,60,75,0.0,1027,10,10,102,8,"Portugal,+Celorico+de+Basto"
2021-02-24,16,3,0.0,10.1,3,83,03:03 PM,05:43 AM,07:14 AM,06:17 PM,3,8,10,8,15,23,75,0.4,1027,16,10,131,8,"Portugal,+Celorico+de+Basto"
2021-02-25,11,0,0.0,5.5,2,90,04:11 PM,06:26 AM,07:13 AM,06:18 PM,7,7,7,7,6,96,94,32.3,1025,11,8,164,4,"Portugal,+Celorico+de+Basto"
2021-02-26,19,8,0.0,11.1,4,97,05:24 PM,07:04 AM,07:11 AM,06:19 PM,9,11,12,11,14,32,79,0.1,1029,19,10,82,9,"Portugal,+Celorico+de+Basto"
2021-02-27,18,6,0.0,11.1,4,97,06:37 PM,07:37 AM,07:10 AM,06:20 PM,6,11,12,11,15,17,73,0.0,1025,18,10,86,9,"Portugal,+Celorico+de+Basto"
2021-02-28,18,3,0.0,11.1,4,90,07:51 PM,08:06 AM,07:08 AM,06:21 PM,2,10,11,10,13,2,60,0.0,1019,18,10,98,8,"Portugal,+Celorico+de+Basto"
2021-03-01,17,3,0.0,5.6,3,83,09:05 PM,08:34 AM,07:06 AM,06:23 PM,6,9,10,9,11,63,80,3.4,1018,17,9,168,7,"Portugal,+Celorico+de+Basto"
2021-03-02,14,5,0.0,5.6,3,76,10:20 PM,09:02 AM,07:05 AM,06:24 PM,8,10,10,10,5,80,88,0.9,1024,14,8,250,3,"Portugal,+Celorico+de+Basto"
2021-03-03,20,3,0.0,8.6,3,69,11:35 PM,09:31 AM,07:03 AM,06:25 PM,7,11,12,11,8,31,82,1.2,1025,20,7,96,5,"Portugal,+Celorico+de+Basto"
2021-03-04,18,10,0.0,8.6,3,63,No moonrise,10:03 AM,07:02 AM,06:26 PM,9,12,13,12,10,49,81,0.8,1018,18,10,111,6,"Portugal,+Celorico+de+Basto"
2021-03-05,21,8,0.0,10.1,4,56,12:50 AM,10:41 AM,07:00 AM,06:27 PM,8,13,14,13,11,42,73,1.1,1016,21,10,75,7,"Portugal,+Celorico+de+Basto"
2021-03-06,20,7,0.0,11.6,4,49,02:03 AM,11:25 AM,06:58 AM,06:28 PM,6,12,12,12,11,8,68,0.0,1019,20,10,114,7,"Portugal,+Celorico+de+Basto"
2021-03-07,18,9,0.0,11.6,4,42,03:11 AM,12:17 PM,06:57 AM,06:30 PM,7,13,13,13,8,5,72,0.0,1018,18,10,173,5,"Portugal,+Celorico+de+Basto"
2021-03-08,14,6,0.0,11.6,4,36,04:10 AM,01:16 PM,06:55 AM,06:31 PM,5,9,10,9,7,19,74,0.0,1017,14,10,76,5,"Portugal,+Celorico+de+Basto"
2021-03-09,17,5,0.0,11.6,4,29,05:02 AM,02:21 PM,06:53 AM,06:32 PM,2,10,11,10,8,22,64,0.0,1021,17,10,139,5,"Portugal,+Celorico+de+Basto"
2021-03-10,17,5,0.0,11.6,4,22,05:44 AM,03:28 PM,06:52 AM,06:33 PM,4,11,12,11,6,29,72,0.0,1024,17,10,196,4,"Portugal,+Celorico+de+Basto"
2021-03-11,14,7,0.0,5.9,3,15,06:18 AM,04:35 PM,06:50 AM,06:34 PM,10,11,11,11,10,97,92,3.3,1025,14,7,230,8,"Portugal,+Celorico+de+Basto"
2021-03-12,14,6,0.0,8.8,3,9,06:47 AM,05:40 PM,06:48 AM,06:35 PM,6,9,9,9,8,61,81,0.3,1025,14,8,273,6,"Portugal,+Celorico+de+Basto"
2021-03-13,13,5,0.0,7.4,3,2,07:13 AM,06:43 PM,06:47 AM,06:36 PM,5,8,9,8,7,68,81,0.1,1026,13,10,257,6,"Portugal,+Celorico+de+Basto"
2021-03-14,17,5,0.0,11.6,4,5,07:36 AM,07:45 PM,06:45 AM,06:37 PM,6,11,11,11,5,22,78,0.0,1027,17,9,161,4,"Portugal,+Celorico+de+Basto"
2021-03-15,21,7,0.0,11.6,4,12,07:58 AM,08:46 PM,06:43 AM,06:39 PM,6,12,13,12,9,15,67,0.0,1025,21,10,111,6,"Portugal,+Celorico+de+Basto"
2021-03-16,20,7,0.0,11.6,4,19,08:20 AM,09:46 PM,06:42 AM,06:40 PM,5,11,12,11,17,6,62,0.0,1025,20,10,88,10,"Portugal,+Celorico+de+Basto"
2021-03-17,20,8,0.0,11.6,4,25,08:44 AM,10:46 PM,06:40 AM,06:41 PM,6,12,13,12,22,3,63,0.0,1024,20,10,82,16,"Portugal,+Celorico+de+Basto"
2021-03-18,18,6,0.0,11.6,4,32,09:10 AM,11:47 PM,06:38 AM,06:42 PM,2,10,11,10,14,6,55,0.0,1022,18,10,75,9,"Portugal,+Celorico+de+Basto"
2021-03-19,18,5,0.0,11.6,4,39,09:40 AM,No moonset,06:37 AM,06:43 PM,3,9,11,9,14,11,62,0.0,1019,18,10,93,10,"Portugal,+Celorico+de+Basto"
2021-03-20,16,5,0.0,11.6,4,46,10:15 AM,12:47 AM,06:35 AM,06:44 PM,2,9,10,9,11,10,60,0.0,1021,16,10,69,8,"Portugal,+Celorico+de+Basto"
2021-03-21,19,3,0.0,11.6,4,52,10:57 AM,01:47 AM,06:33 AM,06:45 PM,-0,10,12,10,10,2,54,0.0,1024,19,10,115,6,"Portugal,+Celorico+de+Basto"
2021-03-22,19,5,0.0,11.6,4,59,11:47 AM,02:42 AM,06:32 AM,06:46 PM,3,11,12,11,12,0,59,0.0,1021,19,10,97,8,"Portugal,+Celorico+de+Basto"
2021-03-23,23,6,0.0,11.6,5,66,12:44 PM,03:34 AM,06:30 AM,06:47 PM,4,13,15,13,10,3,60,0.0,1022,23,10,175,6,"Portugal,+Celorico+de+Basto"
2021-03-24,16,3,0.0,6.1,3,73,01:49 PM,04:19 AM,06:28 AM,06:49 PM,6,10,10,10,6,68,79,0.0,1025,16,8,273,4,"Portugal,+Celorico+de+Basto"
2021-03-25,19,5,0.0,10.2,3,80,02:59 PM,04:59 AM,06:27 AM,06:50 PM,5,11,12,11,7,25,77,0.0,1023,19,8,187,5,"Portugal,+Celorico+de+Basto"
2021-03-26,19,2,0.0,11.6,3,86,04:11 PM,05:33 AM,06:25 AM,06:51 PM,4,11,12,11,7,33,71,0.0,1023,19,8,268,5,"Portugal,+Celorico+de+Basto"
2021-03-27,23,5,0.0,11.6,5,93,05:26 PM,06:04 AM,06:23 AM,06:52 PM,6,12,14,12,12,6,65,0.0,1020,23,10,117,7,"Portugal,+Celorico+de+Basto"
2021-03-28,26,9,0.0,11.6,5,100,06:41 PM,06:32 AM,06:21 AM,06:53 PM,7,17,18,17,9,3,56,0.0,1020,26,10,112,5,"Portugal,+Celorico+de+Basto"
2021-03-29,22,11,0.0,11.6,4,93,07:58 PM,07:01 AM,06:20 AM,06:54 PM,8,16,17,16,15,36,59,0.3,1022,22,10,102,9,"Portugal,+Celorico+de+Basto"
2021-03-30,23,12,0.0,10.2,4,87,09:16 PM,07:30 AM,06:18 AM,06:55 PM,9,17,18,17,14,44,65,0.5,1021,23,10,95,9,"Portugal,+Celorico+de+Basto"
2021-03-31,25,11,0.0,11.6,4,80,10:33 PM,08:01 AM,06:16 AM,06:56 PM,7,17,18,17,19,34,59,0.4,1013,25,10,104,11,"Portugal,+Celorico+de+Basto"
2021-04-01,17,10,0.0,6.2,3,73,11:51 PM,08:37 AM,06:15 AM,06:57 PM,10,13,13,13,11,65,78,14.3,1013,17,9,158,6,"Portugal,+Celorico+de+Basto"
2021-04-02,17,7,0.0,8.9,3,66,No moonrise,09:20 AM,06:13 AM,06:58 PM,10,13,13,13,6,62,87,7.9,1017,17,10,239,4,"Portugal,+Celorico+de+Basto"
2021-04-03,24,10,0.0,11.6,5,60,01:03 AM,10:11 AM,06:11 AM,07:00 PM,10,16,17,16,6,13,73,0.0,1016,24,8,111,5,"Portugal,+Celorico+de+Basto"
2021-04-04,22,7,0.0,11.6,5,53,02:07 AM,11:09 AM,06:10 AM,07:01 PM,2,14,14,14,13,1,47,0.0,1015,22,10,95,8,"Portugal,+Celorico+de+Basto"
2021-04-05,26,9,0.0,11.6,5,46,03:01 AM,12:13 PM,06:08 AM,07:02 PM,4,16,16,16,11,1,47,0.0,1018,26,10,140,7,"Portugal,+Celorico+de+Basto"
2021-04-06,23,11,0.0,11.6,5,39,03:46 AM,01:20 PM,06:07 AM,07:03 PM,6,17,17,17,6,1,51,0.0,1015,23,10,173,5,"Portugal,+Celorico+de+Basto"
2021-04-07,21,8,0.0,11.6,5,32,04:22 AM,02:26 PM,06:05 AM,07:04 PM,4,13,13,13,11,9,55,0.0,1016,21,10,114,8,"Portugal,+Celorico+de+Basto"
2021-04-08,21,8,0.0,11.6,5,26,04:52 AM,03:32 PM,06:03 AM,07:05 PM,5,14,14,14,9,9,57,0.0,1018,21,10,181,7,"Portugal,+Celorico+de+Basto"
2021-04-09,17,10,0.0,6.5,3,19,05:18 AM,04:35 PM,06:02 AM,07:06 PM,10,13,13,13,9,67,81,8.3,1015,17,9,174,6,"Portugal,+Celorico+de+Basto"
2021-04-10,17,4,0.0,9.4,3,12,05:41 AM,05:37 PM,06:00 AM,07:07 PM,11,11,12,11,8,72,89,5.8,1011,17,8,162,6,"Portugal,+Celorico+de+Basto"
2021-04-11,17,8,0.0,9.6,3,5,06:03 AM,06:37 PM,05:59 AM,07:08 PM,8,12,13,12,11,70,79,6.9,1013,17,10,204,7,"Portugal,+Celorico+de+Basto"
2021-04-12,18,5,0.0,13.5,4,1,06:25 AM,07:37 PM,05:57 AM,07:09 PM,1,10,12,10,18,26,55,0.0,1023,18,10,92,12,"Portugal,+Celorico+de+Basto"
2021-04-13,20,9,0.0,13.3,4,8,06:47 AM,08:37 PM,05:55 AM,07:10 PM,3,13,14,13,13,57,50,0.0,1022,20,10,98,8,"Portugal,+Celorico+de+Basto"
2021-04-14,19,10,0.0,10.9,4,15,07:12 AM,09:39 PM,05:54 AM,07:12 PM,10,14,14,14,10,78,77,9.3,1016,19,10,112,7,"Portugal,+Celorico+de+Basto"
2021-04-15,24,12,0.0,13.6,5,22,07:41 AM,10:39 PM,05:52 AM,07:13 PM,10,17,17,17,10,24,65,0.0,1014,24,10,119,7,"Portugal,+Celorico+de+Basto"
2021-04-16,21,9,0.0,13.6,5,29,08:13 AM,11:39 PM,05:51 AM,07:14 PM,3,15,16,15,13,10,47,0.0,1017,21,10,97,9,"Portugal,+Celorico+de+Basto"
2021-04-17,21,6,0.0,13.7,4,35,08:52 AM,No moonset,05:49 AM,07:15 PM,-0,12,14,12,12,19,47,0.0,1021,21,10,116,8,"Portugal,+Celorico+de+Basto"
2021-04-18,21,5,0.0,13.3,5,42,09:38 AM,12:35 AM,05:48 AM,07:16 PM,3,13,14,13,9,31,55,0.0,1021,21,10,167,6,"Portugal,+Celorico+de+Basto"
2021-04-19,15,8,0.0,9.8,3,49,10:31 AM,01:28 AM,05:46 AM,07:17 PM,8,12,12,12,6,74,79,2.0,1018,15,9,263,4,"Portugal,+Celorico+de+Basto"
2021-04-20,18,8,0.0,10.9,3,56,11:32 AM,02:14 AM,05:45 AM,07:18 PM,8,13,13,13,9,72,79,1.9,1016,18,10,256,6,"Portugal,+Celorico+de+Basto"
2021-04-21,14,6,0.0,8.6,3,62,12:38 PM,02:55 AM,05:43 AM,07:19 PM,10,11,11,11,4,99,93,11.0,1014,14,6,172,3,"Portugal,+Celorico+de+Basto"
2021-04-22,19,11,0.0,8.6,4,69,01:48 PM,03:31 AM,05:42 AM,07:20 PM,11,15,15,15,6,77,80,2.6,1011,19,10,202,5,"Portugal,+Celorico+de+Basto"
2021-04-23,22,11,0.0,13.8,5,76,03:00 PM,04:02 AM,05:40 AM,07:21 PM,9,15,16,15,12,41,68,0.0,1013,22,10,108,8,"Portugal,+Celorico+de+Basto"
2021-04-24,23,9,0.0,11.0,4,83,04:13 PM,04:30 AM,05:39 AM,07:22 PM,11,15,16,15,13,62,79,12.1,1011,23,7,122,9,"Portugal,+Celorico+de+Basto"
2021-04-25,20,8,0.0,9.8,4,89,05:29 PM,04:58 AM,05:38 AM,07:24 PM,11,15,15,15,11,69,82,13.2,1008,20,9,116,7,"Portugal,+Celorico+de+Basto"
2021-04-26,19,8,0.0,9.8,4,96,06:47 PM,05:26 AM,05:36 AM,07:25 PM,11,14,14,14,7,74,86,7.7,1006,19,9,179,4,"Portugal,+Celorico+de+Basto"
2021-04-27,20,8,0.0,12.2,4,97,08:06 PM,05:56 AM,05:35 AM,07:26 PM,11,15,15,15,8,60,81,2.2,1006,20,7,208,6,"Portugal,+Celorico+de+Basto"
2021-04-28,17,6,0.0,8.7,3,90,09:27 PM,06:30 AM,05:33 AM,07:27 PM,10,13,13,13,6,85,88,2.8,1006,17,7,218,4,"Portugal,+Celorico+de+Basto"
2021-04-29,16,8,0.0,9.9,3,83,10:45 PM,07:11 AM,05:32 AM,07:28 PM,8,11,11,11,9,85,81,0.3,1008,16,7,240,7,"Portugal,+Celorico+de+Basto"
2021-04-30,17,7,0.0,8.7,3,77,11:56 PM,08:00 AM,05:31 AM,07:29 PM,6,11,12,11,8,62,77,2.8,1011,17,10,201,6,"Portugal,+Celorico+de+Basto"
2021-05-01,18,2,0.0,14.0,3,70,No moonrise,08:57 AM,05:29 AM,07:30 PM,3,11,12,11,11,21,69,0.1,1014,18,10,208,8,"Portugal,+Celorico+de+Basto"
2021-05-02,19,3,0.0,14.0,4,63,12:56 AM,10:02 AM,05:28 AM,07:31 PM,4,11,12,11,7,13,64,0.0,1019,19,10,180,5,"Portugal,+Celorico+de+Basto"
2021-05-03,22,4,0.0,14.1,5,56,01:46 AM,11:10 AM,05:27 AM,07:32 PM,3,13,15,13,10,6,57,0.0,1020,22,10,152,6,"Portugal,+Celorico+de+Basto"
2021-05-04,22,8,0.0,14.1,5,50,02:24 AM,12:18 PM,05:26 AM,07:33 PM,7,16,17,16,10,7,60,0.0,1018,22,10,205,7,"Portugal,+Celorico+de+Basto"
2021-05-05,24,9,0.0,14.1,4,43,02:56 AM,01:24 PM,05:24 AM,07:34 PM,11,16,17,16,8,25,75,0.0,1017,24,6,230,6,"Portugal,+Celorico+de+Basto"
2021-05-06,21,11,0.0,11.1,4,36,03:24 AM,02:28 PM,05:23 AM,07:35 PM,11,16,16,16,9,66,80,0.0,1019,21,8,223,7,"Portugal,+Celorico+de+Basto"
2021-05-07,23,7,0.0,14.1,5,29,03:47 AM,03:30 PM,05:22 AM,07:36 PM,8,16,16,16,8,5,66,0.0,1019,23,8,210,6,"Portugal,+Celorico+de+Basto"
2021-05-08,23,9,0.0,13.4,4,22,04:09 AM,04:30 PM,05:21 AM,07:37 PM,7,16,16,16,9,23,65,0.0,1013,23,10,190,7,"Portugal,+Celorico+de+Basto"
2021-05-09,16,6,0.0,10.0,3,16,04:30 AM,05:30 PM,05:20 AM,07:38 PM,7,11,12,11,16,78,83,29.8,1007,16,9,212,10,"Portugal,+Celorico+de+Basto"
2021-05-10,12,4,0.0,8.9,3,9,04:52 AM,06:30 PM,05:18 AM,07:39 PM,7,6,8,6,18,87,92,23.9,1011,12,8,228,10,"Portugal,+Celorico+de+Basto"
2021-05-11,15,2,0.0,10.0,3,2,05:17 AM,07:31 PM,05:17 AM,07:40 PM,5,8,9,8,14,68,81,9.3,1021,15,10,235,9,"Portugal,+Celorico+de+Basto"
2021-05-12,16,9,0.0,10.0,3,5,05:43 AM,08:32 PM,05:16 AM,07:42 PM,9,10,12,10,20,86,85,8.3,1019,16,9,250,14,"Portugal,+Celorico+de+Basto"
2021-05-13,17,3,0.0,10.0,3,11,06:14 AM,09:32 PM,05:15 AM,07:43 PM,9,10,11,10,17,78,91,11.0,1017,17,7,224,12,"Portugal,+Celorico+de+Basto"
2021-05-14,20,9,0.0,14.3,4,18,06:51 AM,10:30 PM,05:14 AM,07:44 PM,8,14,14,14,8,25,71,0.4,1019,20,9,262,6,"Portugal,+Celorico+de+Basto"
2021-05-15,18,8,0.0,8.9,4,25,07:34 AM,11:24 PM,05:13 AM,07:44 PM,12,13,13,13,13,94,92,1.9,1017,18,7,227,9,"Portugal,+Celorico+de+Basto"
2021-05-16,17,12,0.0,9.0,4,32,08:25 AM,No moonset,05:12 AM,07:45 PM,12,14,15,14,12,84,91,2.1,1018,17,5,244,8,"Portugal,+Celorico+de+Basto"
2021-05-17,21,7,0.0,10.1,4,38,09:23 AM,12:12 AM,05:11 AM,07:46 PM,7,15,15,15,9,67,71,0.1,1021,21,10,262,7,"Portugal,+Celorico+de+Basto"
2021-05-18,23,8,0.0,14.4,5,45,10:25 AM,12:54 AM,05:10 AM,07:47 PM,6,16,16,16,7,8,60,0.0,1025,23,10,183,5,"Portugal,+Celorico+de+Basto"
2021-05-19,23,5,0.0,14.4,5,52,11:32 AM,01:31 AM,05:10 AM,07:48 PM,5,15,16,15,9,3,60,0.0,1026,23,9,112,6,"Portugal,+Celorico+de+Basto"
